Business situation,Confidence indicator,Construction,Hours,Orders,Interest rate spread,Share prices,CLI,Gross Domestic Product (GDP)
1.6,103.6133776,100.604217,40.5,100.4410828,2.17,9.41670814,100.4610616,100.8994419
0.6,102.9678114,100.5260212,40.4,100.4043556,2.14,9.498794086,100.3750095,100.8554641
1.2,99.95516901,100.4717379,40.5,100.3653652,3.12,9.382779124,100.3108915,100.8154947
0.6,103.2905945,100.4402743,40.3,100.321134,3.03,9.815165884,100.261227,100.783518
-0.2,100.815924,100.428494,40.1,100.2557179,3.01,10.3715445,100.2144855,100.7623673
-4.4,100.815924,100.4334492,40.4,100.2036802,3.28,10.29142097,100.1760158,100.7550781
-3.6,101.7842733,100.4511164,40.5,100.1959039,3.16,10.36456292,100.1446762,100.7653745
-5.8,98.77163095,100.4804574,40.4,100.2269725,2.88,10.59651962,100.1169843,100.7954522
-4.4,103.8285663,100.5232358,40.5,100.2659459,2.63,10.84757589,100.0931422,100.842435
-4.2,101.1387071,100.5797287,40.4,100.2793191,2.43,11.05606659,100.0639062,100.8933421
-4.6,99.41719717,100.6490401,40.6,100.2691944,2.43,10.80291495,100.0374522,100.932267
-0.2,99.09441406,100.7281792,40.6,100.2252643,2.45,10.55841563,100.0185035,100.9471792
1.8,95.1134224,100.8136499,40.7,100.156174,2.25,10.65283491,100.0128826,100.9374946
4,97.80328163,100.8990669,40.7,100.0871161,1.73,11.28277833,100.0264306,100.907555
1.4,101.0311127,100.9787924,40.9,100.0387363,0.99,11.81691686,100.0552808,100.8618651
2.4,102.860217,101.0439994,40.7,99.96737067,1.05,11.89890214,100.0793481,100.8018094
2,103.1830001,101.0891563,40.7,99.83962031,0.84,12.52000047,100.0878213,100.7275735
2,102.3222451,101.1123509,40.7,99.66604231,0.3,13.26670391,100.0812901,100.6411064
-0.6,103.5057832,101.1130854,40.5,99.47301394,0.31,13.59399431,100.0678921,100.5501019
6.8,101.999462,101.092427,40.7,99.30640714,0.86,13.60329315,100.0520124,100.463112
1,106.8412086,101.0539957,40.7,99.1847387,0.88,13.94495082,100.0235472,100.3850987
-4,105.1196987,101.0021303,40.6,99.10489583,0.74,13.69766877,99.97914057,100.3128156
5.2,102.1070564,100.9419772,40.7,99.05695874,1,13.95490081,99.93230101,100.2400651
4.8,98.87922532,100.8774864,40.7,99.04793829,1.56,13.57344321,99.89148694,100.1625616
2.4,102.860217,100.8131816,40.6,99.05328054,1.58,13.54146474,99.86649309,100.0828553
2.4,98.34125347,100.750504,40.7,99.08228192,1.21,13.94780725,99.87748817,100.0072273
1,95.86658298,100.6880523,40.8,99.14037565,0.2,14.07403949,99.9483659,99.94286172
9.8,97.26530978,100.6211034,40.8,99.22301435,0.65,14.97067755,100.0883795,99.89484923
5.2,97.05012104,100.5474438,41.2,99.3575712,1.15,15.86817793,100.2767575,99.86675414
10,97.69568726,100.4664966,41,99.52230453,1.12,16.4820559,100.4731937,99.86009632
11,99.84757464,100.3809258,40.8,99.68611366,1.65,16.22883959,100.6525455,99.87249453
14.4,98.01847037,100.2946032,41,99.81615478,1.76,16.14231801,100.8008488,99.90132373
14.8,98.44884784,100.2096897,40.9,99.90394866,1.67,16.79351352,100.9040282,99.94606394
